details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/sweet-bengal-cbd-belapur-mumbai-45910,Sweet Bengal,"Sweets, Indian, Snacks, Desserts",4.5•-- MINS•₹150 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-belapur-cbd-belapur-mumbai-105233,UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.9•-- MINS•₹300 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/laxmi-pure-veg-sector-15-cbd-belapur-mumbai-32283,Laxmi Pure Veg,"North Indian, Chinese, South Indian, Street Food, Beverages",4.1•-- MINS•₹500 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/dominos-pizza-sector-11-cbd-belapur-mumbai-33491,Domino's Pizza,Pizzas,4.3•-- MINS•₹400 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/subway-belapur-cbd-belapur-mumbai-75366,Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",4.2•-- MINS•₹350 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/biryani-guru-cbd-belapur-mumbai-319416,Biryani Guru,"Biryani, Grill, Indian, Mughlai, North Indian",4.4•-- MINS•₹1000 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/swords-cafe-sector-15-cbd-belapur-mumbai-374507,SWORDS CAFE,"Afghani, Chinese, Fast Food, Continental",--•-- MINS•₹400 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/cafe-coffee-day-chawala-plaza-cbd-belapur-mumbai-34183,Cafe Coffee Day,"Beverages, Snacks, Desserts",4.3•-- MINS•₹300 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/aruba-the-food-court-sector-11-cbd-belapur-mumbai-111639,ARUBA The Food Court,"Indian, Chinese",4.2•-- MINS•₹250 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/mom-and-dads-ice-bar-cbd-belapur-mumbai-318204,Mom and Dad's Ice Bar,"Desserts, Ice Cream",--•-- MINS•₹100 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/bijoli-grill-by-wildflower-cbd-belapur-mumbai-338800,Bijoli Grill by Wildflower,"Bengali, Indian, Tandoor, Chinese",--•-- MINS•₹500 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/sailors-cafe-sector-11-cbd-belapur-mumbai-30020,Sailors Cafe,"Fast Food, Beverages, Italian, Desserts",--•-- MINS•₹200 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/guru-krupa-vishnu-complex-cbd-belapur-mumbai-34587,Guru Krupa ,"North Indian, Chinese, Tandoor, Malwani",3.3•-- MINS•₹400 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/giani-ice-cream-cbd-belapur-mumbai-363608,Giani Ice Cream,"Ice Cream, Desserts, Beverages",4.4•-- MINS•₹200 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/mariners-kitchen-cbd-belapur-mumbai-187171,Mariners Kitchen,"Continental, Indian, Chinese",--•-- MINS•₹200 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/pasta-kitchen-sector-15-cbd-belapur-mumbai-49993,Pasta Kitchen,"Pastas, Beverages",--•-- MINS•₹250 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/baked-haven-cbd-belapur-mumbai-369306,Baked Haven,Desserts,--•-- MINS•₹250 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/aai-food-steam-corner-nerul-cbd-belapur-mumbai-104412,Aai Food Steam Corner,Snacks,--•-- MINS•₹500 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/hale-and-hearty-sector-23-cbd-belapur-mumbai-137631,Hale and Hearty,"Fast Food, Indian",--•-- MINS•₹200 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/kungchow-navi-cbd-belapur-mumbai-56819,Kungchow,Chinese,--•-- MINS•₹500 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/ashwith-family-dining-bar-sector-15-cbd-belapur-mumbai-31876,Ashwith Family Dining Bar,"North Indian, Chinese, Mughlai, Seafood",4.3•-- MINS•₹650 FOR TWO,CBD_BELAPUR
https://www.swiggy.com/restaurants/mcdonalds-sector-15-cbd-belapur-mumbai-33855,McDonald's,Fast Food,4.4•-- MINS•₹400 FOR TWO,CBD_BELAPUR
