details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/7th-sense-kharghar-mumbai-240884,7th Sense,"Indian, Chinese, Biryani, Beverages",--•-- MINS•₹300 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/dadas-chinese-corner-sector-12-kharghar-mumbai-156029,Dadas Chinese Corner,Chinese,3.9•-- MINS•₹250 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/kota-kachori-and-sweets-kharghar-mumbai-201716,Kota Kachori and sweets,"Desserts, Fast Food",3.8•-- MINS•₹200 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/hotel-khandeshi-baithak-kharghar-mumbai-346592,Hotel Khandeshi Baithak,"North Indian, Thalis, Maharashtrian",--•-- MINS•₹200 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/mamledar-misal-kharghar-mumbai-374146,Mamledar Misal,"Snacks, Fast Food, Beverages",3.9•-- MINS•₹300 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/hotel-annapurna-bhoomi-avenue-sector-35-kharghar-mumbai-138710,Hotel Annapurna,Chinese,--•-- MINS•₹150 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/pus-pizzeria-kharghar-mumbai-371670,PU'S PIZZERIA,Pizzas,--•-- MINS•₹200 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/smokin-joes-sector-19-kharghar-mumbai-27524,Smokin' Joe's,"Fast Food, Pizzas",3.8•-- MINS•₹650 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/hot-momos-kharghar-mumbai-114622,Hot Momos,Fast Food,4.4•-- MINS•₹200 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/tibbs-frankie-kharghar-mumbai-261105,Tibb's Frankie,"Fast Food, Chettinad, Combo, Beverages",4.0•-- MINS•₹200 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-little-world-kharghar-mumbai-192354,McCafe by McDonald's,"Cafe, Beverages, Desserts",--•-- MINS•₹250 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/hotel-sindhudurga-coastal-sector-8-kharghar-mumbai-172747,Hotel Sindhudurga Coastal,"Mughlai, Continental, Tandoor, Arabian, Biryani",--•-- MINS•₹800 FOR TWO,KHARGHAR
https://www.swiggy.com/restaurants/the-j-bhoomi-tower-sector-4-kharghar-mumbai-34621,The J,"American, Fast Food, Snacks, Desserts",4.2•-- MINS•₹300 FOR TWO,KHARGHAR
