details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/faasos-near-holi-family-school-mahakali-andheri-east-mumbai-19105,Faasos,"Fast Food, Combo, Snacks",4.2•-- MINS•₹200 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/wok-n-stir-andheri-east-mumbai-317473,Wok n Stir,"North Indian, Indian",--•-- MINS•₹600 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-near-holi-family-school-mahakali-andheri-east-mumbai-263644,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--•-- MINS•₹200 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/hit-and-run-andheri-east-mumbai-33890,Hit & Run,"Mughlai, Lebanese, Chinese, Salads",4.1•-- MINS•₹700 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/charcoal-eats-biryani-and-beyond-e-wing-andheri-east-mumbai-338057,Charcoal Eats - Biryani & Beyond,"Biryani, North Indian, Fast Food",4.1•-- MINS•₹600 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/ji-momo-andheri-east-mumbai-145373,Ji Momo,Fast Food,4.0•-- MINS•₹250 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-vertex-vikas-andheri-east-mumbai-307670,Kwality Walls Frozen Dessert & Ice Cream Shop,"Ice Cream, Desserts",4.6•-- MINS•₹300 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/spice-of-china-poonam-nagar-andheri-east-mumbai-1575,Spice Of China,"Chinese, Seafood",4.2•-- MINS•₹650 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/taste-of-east-marol-sakinaka-andheri-east-mumbai-360099,Taste Of East,"Chinese, Indian",--•-- MINS•₹300 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/nells-kitchen-andheri-east-mumbai-328371,NELLS KITCHEN,Indian,--•-- MINS•₹600 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/biryani-stories-by-the-mirador-hotel-andheri-east-mumbai-327285,Biryani Stories by The Mirador Hotel,Biryani,--•-- MINS•₹1000 FOR TWO,ANDHERI_EAST
https://www.swiggy.com/restaurants/who-said-pizza-andheri-east-mumbai-322810,Who said pizza,Fast Food,--•-- MINS•₹450 FOR TWO,ANDHERI_EAST
