details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/the-belgian-waffle-co-bhandup-mumbai-43732,The Belgian Waffle Co.,"Desserts, Beverages",4.5•-- MINS•₹200 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/mad-over-donuts-bhandup-mumbai-340130,Mad Over Donuts,Desserts,4.2•-- MINS•₹200 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/il-sachhi-pizzeria-bhandup-mumbai-65804,il Sachhi Pizzeria,"Pizzas, Fast Food",--•-- MINS•₹450 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/ezelle-bhandup-mumbai-370346,Ezelle,Indian,--•-- MINS•₹400 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/spork-chinese-and-oriental-kitchen-bhandup-mumbai-73382,Spork - Chinese & Oriental Kitchen,"Oriental, Chinese, Indonesian, Malaysian, Singaporean, Thai",3.9•-- MINS•₹700 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/the-bhookh-bungla-west-bhandup-mumbai-37050,The Bhookh Bungla,"Pizzas, Snacks, Fast Food, Bakery, Cafe, Chinese",--•-- MINS•₹450 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/mothers-taste-jangal-mangal-road-bhandup-mumbai-52450,Mother's Taste,Snacks,--•-- MINS•₹400 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/behrouz-biryani-bhandup-mumbai-31478,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.2•-- MINS•₹500 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/pushpak-comboz-bhandup-mumbai-299158,PUSHPAK COMBOZ,Combo,4.2•-- MINS•₹300 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/ovenstory-pizza-bhandup-mumbai-31477,Ovenstory Pizza,"Pizzas, Italian",3.9•-- MINS•₹600 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/la-cuisine-bhandup-mumbai-378351,LA CUISINE,"Pizzas, Snacks, Combo",--•-- MINS•₹350 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/wah-malvan-bhandup-mumbai-304565,Wah Malvan,"Malwani, Beverages, Thalis, Desserts",3.7•-- MINS•₹450 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/vidli-vada-bhandup-mumbai-304561,Vidli Vada,South Indian,--•-- MINS•₹300 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/kings-chinese-bhandup-mumbai-64393,King's Chinese,Chinese,3.8•-- MINS•₹500 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/lucky-caterers-gaon-bhandup-mumbai-113380,Lucky Caterers,"Fast Food, Biryani, North Indian",3.6•-- MINS•₹400 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/the-good-bowl-bhandup-mumbai-156396,The Good Bowl,"North Indian, Biryani, Asian, Pastas, Desserts",4.4•-- MINS•₹400 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/the-idli-co-bhandup-mumbai-360655,The idli co,South Indian,4.4•-- MINS•₹120 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/the-london-shakes-west-bhandup-mumbai-70200,The London Shakes,Cafe,--•-- MINS•₹350 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/kareems-biryani-shakti-industrial-estate-bhandup-mumbai-43045,Kareem's Biryani,"Biryani, Indian",--•-- MINS•₹300 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/asc-snacks-corner-bhandup-mumbai-354707,Asc Snacks Corner,Snacks,--•-- MINS•₹250 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/ss-chinese-bhandup-mumbai-117966,SS Chinese,Chinese,--•-- MINS•₹200 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/daily-meals-shakti-industrial-estate-bhandup-mumbai-83738,Daily Meals,Indian,--•-- MINS•₹450 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/haute-ganache-bhandup-mumbai-355119,Haute Ganache,"Indian, Bakery",--•-- MINS•₹300 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/mitran-da-dhaba-near-shangrilla-bus-stop-bhandup-mumbai-23611,Mitran Da Dhaba,"Mughlai, North Indian, Chinese",4.2•-- MINS•₹500 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/lees-shakti-industrial-estate-bhandup-mumbai-83737,Lee's,Chinese,--•-- MINS•₹250 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/7th-heaven-cake-shop-bhandup-mumbai-332059,7th Heaven Cake Shop,"Indian, Bakery",--•-- MINS•₹200 FOR TWO,BHANDUP
https://www.swiggy.com/restaurants/big-bowl-company-bhandup-mumbai-296063,Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food",4.2•-- MINS•₹300 FOR TWO,BHANDUP
