details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/sufi-al-baik-chinese-and-fast-food-byculla-mumbai-323596,Sufi al baik Chinese and fast food,"Snacks, Chinese",--•-- MINS•₹400 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/shobhaa-only-veg-byculla-mumbai-46601,Shobhaa Only Veg,"Indian, Chinese",4.5•-- MINS•₹800 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/wowfillss-lalbaug-byculla-mumbai-222539,Wowfillss- lalbaug,"Desserts, Beverages",4.4•-- MINS•₹250 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/sams-kitchem-byculla-mumbai-331537,Sam's kitchem,Indian,--•-- MINS•₹250 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/alis-multi-cuisine-byculla-mumbai-308759,ALIS MULTI CUISINE,Indian,--•-- MINS•₹200 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/mahalaxmi-services-juice-centre-byculla-mumbai-149178,Mahalaxmi Services Juice Centre,"Beverages, Juices",4.3•-- MINS•₹550 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/taj-mahal-restaurant-byculla-mumbai-114621,Taj Mahal Restaurant,Indian,--•-- MINS•₹400 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/foodiz-junction-byculla-mumbai-334248,FOODIZ JUNCTION,Indian,--•-- MINS•₹200 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/food-box-byculla-mumbai-334128,FOOD BOX,"Fast Food, Beverages",--•-- MINS•₹350 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/taipan-chinese-by-roshan-bakery-byculla-mumbai-222535,Taipan Chinese by Roshan Bakery,"Chinese, North Indian, Fast Food",3.9•-- MINS•₹300 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/its-yummy-karim-mansion-dongri-byculla-mumbai-313788,Its Yummy,"Snacks, American, Italian, Beverages",--•-- MINS•₹200 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/cake-factory-bapty-road-byculla-mumbai-356168,Cake Factory,"Indian, Bakery, Desserts, Combo, Sweets, Cafe",--•-- MINS•₹100 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/brun-and-babka-byculla-mumbai-381595,Brun And Babka,Bakery,--•-- MINS•₹450 FOR TWO,BYCULLA
https://www.swiggy.com/restaurants/khau-galli-mazgaon-byculla-mumbai-82269,Khau Galli,"Snacks, Fast Food",4.1•-- MINS•₹400 FOR TWO,BYCULLA
