details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/little-surprises-dahisar-mumbai-350612,Little Surprises,"Desserts, Bakery",--•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/simply-indian-dahisar-mumbai-370861,Simply Indian,"Chinese, Indian, Mughlai",--•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/tandoori-tadka-dahisar-mumbai-375751,Tandoori Tadka,"Tandoor, Biryani, Indian",--•-- MINS•₹250 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/alibaba-shawarma-and-rolls-mira-road-dahisar-mumbai-111078,Alibaba Shawarma & Rolls,"Lebanese, Arabian, Chinese, Fast Food, Afghani, Beverages",3.5•-- MINS•₹150 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/quality-chinese-and-family-restaurant-dahisar-mumbai-316381,Quality Chinese & family restaurant,Fast Food,--•-- MINS•₹300 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/hot-and-spicy-dahisar-mumbai-338053,Hot and spicy,"Chinese, Indian",--•-- MINS•₹300 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/fried-station-rolls-burgers-milkshakes-more-next-to-bank-of-baroda-dahisar-mumbai-27007,"Fried Station -Rolls, Burgers,Milkshakes,More","Fast Food, Street Food",--•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/mondo-fine-dine-kandarpada-west-dahisar-mumbai-166742,Mondo Fine Dine,Italian,--•-- MINS•₹500 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/apsara-ice-creams-anand-nagar-dahisar-mumbai-368260,Apsara Ice Creams,"Ice Cream, Desserts",4.4•-- MINS•₹150 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/china-palace-dahisar-mumbai-370864,China Palace,"Chinese, Indian, Mughlai",--•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/selfie-on-shake-dahisar-mumbai-358614,Selfie On Shake,"Italian, Beverages",--•-- MINS•₹250 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/zaika-the-northern-street-borivali-dahisar-mumbai-210705,Zaika - the northern street,North Indian,--•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/tatbhar-potbhar-dahisar-mumbai-298350,Tatbhar Potbhar,"Indian, Snacks",--•-- MINS•₹180 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/hotel-ramkrishna-borivali-dahisar-mumbai-151768,Hotel Ramkrishna,Indian,4.4•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/divya-chinese-corner-restaurant-ii-dahisar-mumbai-358104,Divya Chinese Corner Restaurant (II),"Indian, Thalis, Chinese, Biryani, Punjabi",3.7•-- MINS•₹200 FOR TWO,DAHISAR_EAST
https://www.swiggy.com/restaurants/dwarka-veg-world-mira-road-dahisar-mumbai-230794,Dwarka Veg World,"North Indian, South Indian",4.1•-- MINS•₹300 FOR TWO,DAHISAR_EAST
