details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/kastle-cafe-dombivli-mumbai-349864,Kastle Cafe,"Pizzas, Pastas, Continental, Ice Cream, Beverages, Italian",--•-- MINS•₹400 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/priti-nx-dombivali-west-dombivli-mumbai-63187,Priti Nx,"Indian, Biryani, Chinese, Tandoor",4.1•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/udupi-shri-krishna-pure-veg-dombivli-mumbai-292521,Udupi Shri Krishna (Pure Veg),"North Indian, Chinese, Indian",4.4•-- MINS•₹250 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/fittoo-dombivli-mumbai-154522,FitToo,"Healthy Food, Beverages, Salads",4.3•-- MINS•₹400 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/rajiv-pizza-corner-dombivli-mumbai-243234,Rajiv Pizza Corner,"Beverages, Fast Food",4.0•-- MINS•₹200 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/la-celebrita-food-studio-dombivli-mumbai-43210,La Celebrita Food Studio,"Italian, Pizzas, Pastas",3.8•-- MINS•₹350 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/anda-mahal-dombivali-west-dombivli-mumbai-69964,Anda Mahal,Fast Food,--•-- MINS•₹100 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/classik-restaurant-dombivli-mumbai-371318,Classik Restaurant,"Indian, Chinese, South Indian, Pizzas, Beverages, Desserts",3.8•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/behrouz-biryani-shivaji-udyog-nagar-dombivli-mumbai-59244,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.0•-- MINS•₹500 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/jai-bholenath-pav-bhaji-center-dombivli-mumbai-204549,Jai Bholenath Pav Bhaji Center,"Fast Food, Maharashtrian, Snacks, Indian",4.1•-- MINS•₹180 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/gomantak-sagoti-hotel-dombivli-mumbai-332076,GOMANTAK SAGOTI HOTEL,"Indian, Chinese",3.7•-- MINS•₹200 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/jai-malhar-chinese-thane-panchpakhadi-dombivli-mumbai-138961,jai malhar chinese,"Indian, Chinese",--•-- MINS•₹500 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/hoy-maharaja-dombivli-mumbai-175578,Hoy maharaja,Indian,4.1•-- MINS•₹400 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/deepak-snack-corner-dombivli-mumbai-380389,Deepak Snack Corner,Indian,--•-- MINS•₹150 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/red-chilly-nx-dombivli-mumbai-251897,Red Chilly Nx,"Chinese, Indian",3.9•-- MINS•₹250 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/pizza-eataliano-dombivli-mumbai-362834,Pizza Eataliano,"Italian, Fast Food",--•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/gala-frankie-dombivli-mumbai-342424,Gala Frankie,"Snacks, Chaat",4.1•-- MINS•₹200 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/dks-cakes-and-chocolates-dombivli-mumbai-346343,DKS CAKES AND CHOCOLATES,Bakery,--•-- MINS•₹350 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/house-of-snacks-dombivli-mumbai-319782,House of Snacks,Fast Food,--•-- MINS•₹250 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/jumboking-indian-burger-dombivli-mumbai-371663,Jumboking Indian Burger,"Fast Food, Indian, American, Mexican, Healthy Food, Snacks, Beverages",4.5•-- MINS•₹200 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/hotel-gurudev-dombivli-mumbai-200519,Hotel Gurudev,"Chinese, Indian, Malwani, Tandoor",3.7•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/king-star-kitchen-dombivli-mumbai-318570,King Star kitchen,"Chinese, Biryani",--•-- MINS•₹500 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/hotel-laxmikant-family-restaurant-dombivli-mumbai-127379,Hotel Laxmikant Family Restaurant,"Indian, Biryani",--•-- MINS•₹400 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/mumbai-biryani-nx-and-chinese-dombivli-mumbai-296456,MUMBAI biryani Nx and Chinese,"North Indian, Chinese",4.0•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/golden-palm-family-fast-food-centre-dombivli-mumbai-384184,Golden Palm Family Fast Food Centre,"Chinese, Indian, Fast Food",--•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/hotel-suyog-dombivli-mumbai-209577,Hotel Suyog,"Chinese, Indian, Malwani, North Indian, Seafood",4.3•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/com-box-dombivli-mumbai-297663,COM BOX,Chinese,--•-- MINS•₹250 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/babas-cloud-kitchen-dombivli-mumbai-339017,BABA'S CLOUD KITCHEN,"North Indian, Indian",4.2•-- MINS•₹400 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/royal-taste-italian-and-chinese-east-dombivli-mumbai-144169,Royal taste italian and chinese,"Chinese, Italian",4.2•-- MINS•₹250 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/hotel-ambika-pure-veg-dombivali-east-dombivli-mumbai-54127,Hotel Ambika Pure Veg,"Indian, South Indian, Chinese, Snacks, Beverages",4.4•-- MINS•₹300 FOR TWO,DOMBIVLI
https://www.swiggy.com/restaurants/snacks-adda-dombivali-east-dombivli-mumbai-57752,Snack's Adda,"North Indian, Chinese",3.7•-- MINS•₹200 FOR TWO,DOMBIVLI
