details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/love-chinese-jog-gor-west-mumbai-291679,LOVE CHINESE,Chinese,--•-- MINS•₹200 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/kitchen-cafe-jog-gor-west-mumbai-349863,kitchen cafe,"North Indian, Snacks, Chaat",--•-- MINS•₹400 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/buddys-fast-food-jog-gor-west-mumbai-326506,Buddys Fast Food,"Lebanese, Chinese, African, Desserts, Beverages",--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/dabbawala-goregaon-link-road-jog-gor-west-mumbai-131646,Dabbawala,"North Indian, Tandoor, Chinese",3.2•-- MINS•₹200 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/fish-lover-jog-gor-west-mumbai-334801,Fish Lover,North Indian,--•-- MINS•₹500 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/the-legacy-kitchen-jog-gor-west-mumbai-259021,The Legacy Kitchen,Indian,4.2•-- MINS•₹400 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/sahil-chinese-and-fast-foods-jog-gor-west-mumbai-361500,Sahil Chinese & Fast Foods,"Chinese, Fast Food, Indian",--•-- MINS•₹660 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/utsav-bar-restaurant-jog-gor-west-mumbai-381352,Utsav bar Restaurant,"North Indian, Chinese",--•-- MINS•₹400 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/yaseens-jog-gor-west-mumbai-308527,YASEENS,"North Indian, Chinese",--•-- MINS•₹200 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/iliyas-bhais-janata-jog-gor-west-mumbai-348649,Iliyas Bhais Janata,Indian,--•-- MINS•₹200 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/mcdonalds-jogeshwari-jaiswal-jog-gor-west-mumbai-33416,McDonald's,Fast Food,4.5•-- MINS•₹400 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/tasty-china-jog-gor-west-mumbai-257519,Tasty china,Chinese,--•-- MINS•₹350 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/cafe-ahaan-jog-gor-west-mumbai-217876,Cafe Ahaan,"Biryani, Chinese, North Indian",--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/adelkars-kitchen-aarey-road-goregaon-west-jog-gor-west-mumbai-215456,Adelkars Kitchen,Malwani,4.5•-- MINS•₹500 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/sandhya-mitha-nagar-jog-gor-west-mumbai-20100,Sandhya,"North Indian, Chinese, Indian, Seafood",4.2•-- MINS•₹450 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/surbhi-sweets-jog-gor-west-mumbai-364593,Surbhi Sweets,Sweets,--•-- MINS•₹250 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/made-in-china-opposite-bangur-nagar-jog-gor-west-mumbai-42912,Made In China,"Chinese, Thai",4.1•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/sadguru-pure-veg-jog-gor-west-mumbai-149861,Sadguru Pure Veg,"South Indian, North Indian",4.2•-- MINS•₹400 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/mumbai-continental-foods-jog-gor-west-mumbai-338166,Mumbai Continental Foods,Indian,--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/thakur-fast-food-corner-jog-gor-west-mumbai-219252,Thakur Fast Food Corner,North Indian,--•-- MINS•₹100 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/lee-and-chans-bistro-jog-gor-west-mumbai-338167,Lee & Chans Bistro,Indian,--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/mumbai-foods-factory-mff-jog-gor-west-mumbai-338169,Mumbai Foods Factory (MFF),"Punjabi, Mughlai, Biryani, Combo, Chinese",--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
https://www.swiggy.com/restaurants/frankie-and-momos-junction-jogeshwari-west-jog-gor-west-mumbai-358107,FRANKIE AND MOMOS JUNCTION,Chinese,--•-- MINS•₹300 FOR TWO,JOG_GOR_WEST
