details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/cold-stone-creamery-oberoi-mall-jog-gor-east-mumbai-182555,Cold Stone Creamery,"Ice Cream, Desserts, Beverages",3.8•-- MINS•₹200 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/bindaas-binge-cakes-pastries-and-more-goregaon-east-jog-gor-east-mumbai-43335,"Bindaas Binge ( Cakes, Pastries & more )","Bakery, Desserts, Sweets",4.3•-- MINS•₹500 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/starters-and-tandoori-opp-oberoi-mall-jog-gor-east-mumbai-134911,Starters And Tandoori,North Indian,--•-- MINS•₹300 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/meals-of-india-jog-gor-east-mumbai-295910,Meals of India,"North Indian, Thalis, Combo, Maharashtrian, Home Food",3.4•-- MINS•₹250 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/sayalis-kitchen-jog-gor-east-mumbai-316141,SAYALI'S KITCHEN,"Malwani, Maharashtrian, Thalis",4.1•-- MINS•₹700 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/spukies-the-veg-sigree-ak-vaidya-marg-jog-gor-east-mumbai-37211,Spukies - The Veg Sigree,"North Indian, Jain, Chinese, South Indian",4.2•-- MINS•₹300 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/lunchbox-co-operative-housing-society-ltd-jog-gor-east-mumbai-62893,LunchBox,"North Indian, Chinese, Desserts, Biryani",4.1•-- MINS•₹200 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/hunger-bunker-jogeshwari-east-jog-gor-east-mumbai-73301,Hunger Bunker,Fast Food,--•-- MINS•₹500 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/dimsum-momo-express-jog-gor-east-mumbai-351024,Dimsum Momo Express,"Tibetan, Chinese, Thai",4.0•-- MINS•₹200 FOR TWO,JOG_GOR_EAST
https://www.swiggy.com/restaurants/itminaan-biryani-dum-pukht-nesco-jog-gor-east-mumbai-313670,Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",4.0•-- MINS•₹400 FOR TWO,JOG_GOR_EAST
