details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/al-baik-kamothe-mumbai-66212,Al Baik,"Indian, Chinese, North Indian, Punjabi, Fast Food",4.1•-- MINS•₹350 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/heaven-in-china-kamothe-mumbai-374389,Heaven In China,Chinese,--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/amul-ice-cream-kamothe-mumbai-67788,Amul Ice Cream,Ice Cream,--•-- MINS•₹150 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/faasos-shree-chamunda-harmony-sec-18-kamothe-mumbai-62655,Faasos,"Fast Food, Combo, Snacks",4.2•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/dominos-pizza-sector-6-a-kamothe-mumbai-33492,Domino's Pizza,Pizzas,4.2•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/behrouz-biryani-shree-chamunda-harmony-sec-18-kamothe-mumbai-62656,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.2•-- MINS•₹500 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/the-house-of-misal-kamothe-mumbai-353201,the house of misal,Indian,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/ovenstory-pizza-shree-chamunda-harmony-sec-18-kamothe-mumbai-62657,Ovenstory Pizza,Pizzas,3.7•-- MINS•₹600 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/cake-and-bake-cake-shop-kamothe-mumbai-378503,CAKE AND BAKE CAKE SHOP,Bakery,--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/firangi-bake-shree-chamunda-harmony-sec-18-kamothe-mumbai-62658,Firangi Bake,"Italian, Mexican, Pastas",4.3•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/sweet-truth-shree-chamunda-harmony-sec-18-kamothe-mumbai-62659,Sweet Truth,"Cafe, Bakery, Desserts, Beverages",4.2•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/royal-bakery-near-dr-karandes-clinic-kamothe-mumbai-156709,Royal Bakery,Indian,4.5•-- MINS•₹100 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/hotel-suraj-fine-dine-sector-1-kamothe-mumbai-34106,Hotel Suraj Fine Dine,"Indian, Chinese",4.2•-- MINS•₹1000 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/v-gupta-icecream-and-panipuri-centre-kamothe-mumbai-337400,V GUPTA ICECREAM AND PANIPURI CENTRE,"Chaat, Ice Cream",4.2•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/excellent-shawarma-corner-kamothe-mumbai-382283,Excellent Shawarma Corner,"Indian, Fast Food",--•-- MINS•₹150 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/rupali-s-kitchen-kamothe-mumbai-372371,Rupali s Kitchen,Indian,--•-- MINS•₹250 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/sardarji-da-dhaba-kamothe-mumbai-43053,Sardarji Da Dhaba,"Indian, Chinese",--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/lunchbox-shree-chamunda-harmony-sec-18-kamothe-mumbai-68111,LunchBox,"North Indian, Chinese, Desserts, Biryani",4.1•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/charcoal-eats-biryani-and-beyond-siddhi-vinayak-complex-kamothe-mumbai-328879,Charcoal Eats - Biryani & Beyond,"Biryani, North Indian, Fast Food",4.0•-- MINS•₹499 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/sukh-sagar-kamothe-mumbai-190869,Sukh Sagar,Indian,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/mammas-kitchen-kamothe-mumbai-332736,MAMMA'S KITCHEN,North Indian,--•-- MINS•₹130 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/the-chinese-flavour-kamothe-mumbai-375982,The Chinese Flavour,Chinese,--•-- MINS•₹160 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/old-mumbai-ice-cream-kamothe-mumbai-226725,Old Mumbai Ice Cream,"Desserts, Ice Cream",4.7•-- MINS•₹130 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/mcdonalds-kalamboli-kamothe-mumbai-351396,McDonald's,Fast Food,4.2•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/shagun-pure-veg-kalamboli-kalamboli-kamothe-mumbai-334877,Shagun Pure Veg (Kalamboli),"South Indian, Chinese, Beverages, Desserts, Indian, North Indian, Biryani",4.1•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/swarajya-veg-non-veg-family-restaurant-kamothe-mumbai-384581,Swarajya Veg - Non Veg Family Restaurant,"North Indian, Chinese, Maharashtrian",--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/ziggy-kamothe-mumbai-354304,Ziggy,"Pizzas, Fast Food, Snacks",--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/amkits-ice-cream-pr-mira-road-kamothe-mumbai-141054,amkits ice cream pr,Desserts,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/jumboking-indian-burger-khandeswar-kamothe-mumbai-51255,Jumboking Indian Burger,"Fast Food, Indian, American, Mexican, Healthy Food, Snacks, Beverages",4.1•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/food-dude-kamothe-mumbai-345405,FOOD DUDE,Chinese,--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/mansarovar-kamothe-mumbai-51018,Mansarovar,"South Indian, Chinese, Snacks, Indian",3.7•-- MINS•₹150 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/patil-kitchens-and-chinese-resto-kamothe-mumbai-322546,Patil kitchens &  Chinese resto,"Chinese, Indian",--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/malvan-tadka-sector-35-kamothe-mumbai-32437,Malvan Tadka,"Malwani, North Indian, Chinese, Maharashtrian, Seafood, Biryani",3.8•-- MINS•₹250 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/burgerboyz-kamothe-mumbai-325016,BurgerBoyz,"Chinese, Snacks",--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/hotel-sahyadri-kalamboli-navi-kamothe-mumbai-67686,Hotel sahyadri,"Indian, Chinese, Tandoor",4.0•-- MINS•₹500 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/kokan-katta-restaurant-kamothe-mumbai-303602,KOKAN KATTA RESTAURANT,"North Indian, Chinese",--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/baskin-robbins-panvel-fc-kamothe-mumbai-372024,Baskin Robbins,"Desserts, Ice Cream",--•-- MINS•₹250 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/redel-kamothe-mumbai-231391,Redel,"Ice Cream, Desserts, Beverages",--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/sarthak-kitchens-kamothe-mumbai-349962,Sarthak Kitchens,"Chinese, Continental, Beverages",--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/durwa-kamothe-mumbai-39454,Durwa,"Indian, Chinese, Maharashtrian, Snacks",3.9•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/the-fire-wok-kamothe-mumbai-352410,THE FIRE WOK,Chinese,--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/swastik-lunch-home-kamothe-mumbai-342925,Swastik Lunch Home,"Indian, Biryani, Chinese",--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/monginis-kamothe-mumbai-273385,Monginis,"Bakery, Desserts",4.1•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/sukh-sagar-pure-veg-family-restaurant-kamothe-mumbai-316635,SUKH SAGAR PURE VEG FAMILY RESTAURANT,"Indian, Chinese, South Indian, Fast Food, Beverages",--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/bombay-burgers-kamothe-mumbai-351293,Bombay Burgers,Indian,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/swa-varhadi-misal-kamothe-mumbai-383152,Swa Varhadi Misal,Chaat,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/tanishq-family-restaruant-kamothe-mumbai-116995,Tanishq Family restaruant,Indian,--•-- MINS•₹400 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/hotel-captain-panvel-kamothe-mumbai-113000,Hotel Captain,"Indian, Chinese",--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/maa-momo-j-k-foods-kamothe-mumbai-342248,Maa Momo (J. K. Foods),"Chinese, Fast Food, Snacks, Combo",3.5•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/bakez-n-cakez-kamothe-mumbai-329964,BAKEZ N CAKEZ,"Bakery, Desserts",--•-- MINS•₹300 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/mandarin-oak-shree-chamunda-harmony-plot-number-68a-69-and-69a-sec-18-kamothe-mumbai-65155,Mandarin Oak,"Asian, Chinese, Thai",3.9•-- MINS•₹350 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/amul-cafe-kamothe-mumbai-376578,AMUL CAFE,"Ice Cream, Beverages",--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/shree-swami-samarth-poli-bhaji-kendra-kamothe-mumbai-374552,Shree Swami Samarth Poli Bhaji Kendra,Indian,--•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/kolkata-kebabs-and-rolls-kamothe-mumbai-38510,Kolkata Kebabs & Rolls,"Fast Food, Bengali",4.0•-- MINS•₹200 FOR TWO,KAMOTHE
https://www.swiggy.com/restaurants/fire-bowl-chinese-kalamboli-kamothe-mumbai-161585,Fire Bowl Chinese,"Chinese, Continental",4.1•-- MINS•₹500 FOR TWO,KAMOTHE
