details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/apsara-ice-creams-dev-chaaya-building-haji-ali-mahalaxmi-malabar-hill-mumbai-374425,Apsara Ice Creams,"Beverages, Snacks, Desserts",--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/6th-street-yogurt-warden-road-mahalaxmi-malabar-hill-mumbai-7322,6th Street Yogurt,Desserts,4.6•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/the-salad-jar-mahalaxmi-malabar-hill-mumbai-186910,The Salad Jar,Salads,--•-- MINS•₹500 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/shagun-veg-restaurant-mahalaxmi-malabar-hill-mumbai-318561,SHAGUN VEG RESTAURANT,"Indian, South Indian, Chinese",--•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/diet-tamasha-mahalaxmi-malabar-hill-mumbai-261865,DIET TAMASHA,"Bakery, Sweets",--•-- MINS•₹600 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/the-food-script-mahalaxmi-malabar-hill-mumbai-354015,THE FOOD SCRIPT,"Desserts, Snacks",--•-- MINS•₹600 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/monte-carlo-lodhapark-mahalaxmi-malabar-hill-mumbai-147031,Monte Carlo,Desserts,--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/breads-and-bakes-mahalaxmi-malabar-hill-mumbai-295078,Breads and bakes,Bakery,--•-- MINS•₹900 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/getawhey-byculla-mahalaxmi-malabar-hill-mumbai-185784,GetAWhey,"Ice Cream, Desserts, Healthy Food",4.7•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/baskin-robbins-teen-batti-mahalaxmi-malabar-hill-mumbai-6905,Baskin Robbins,"Desserts, Ice Cream",4.5•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/birdys-haji-ali-mahalaxmi-malabar-hill-mumbai-313426,Birdy's,"Cafe, Fast Food",--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/physicult-llp-mahalaxmi-malabar-hill-mumbai-365947,Physicult LLP,"Continental, Italian, Fast Food, Combo, Beverages",--•-- MINS•₹400 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/tibbs-frankie-opp-tardeo-bus-bus-depot-mahalaxmi-malabar-hill-mumbai-26672,Tibb's Frankie,Fast Food,4.3•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/port-kitchen-and-bar-mahalaxmi-malabar-hill-mumbai-257754,PORT Kitchen & Bar,"American, Italian",--•-- MINS•₹1500 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/nanumal-bhojraj-tardeo-tardeo-mahalaxmi-malabar-hill-mumbai-54912,Nanumal Bhojraj (Tardeo),Indian,4.2•-- MINS•₹550 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/seoulmate-mahalaxmi-malabar-hill-mumbai-368654,SEOULMATE,Korean,4.1•-- MINS•₹1000 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/papa-jangos-pizza-mahalaxmi-malabar-hill-mumbai-257917,Papa Jango's Pizza,"Pizzas, Desserts, Beverages",--•-- MINS•₹350 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-mahalaxmi-malabar-hill-mumbai-385679,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/messy-burgers-and-wing-mahalaxmi-malabar-hill-mumbai-377380,Messy Burgers and Wing,"American, Continental, Fast Food",--•-- MINS•₹600 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/sudama-all-veg-near-nana-chowk-mahalaxmi-malabar-hill-mumbai-18663,Sudama - All Veg,"North Indian, Chinese, Kebabs, South Indian, Pizzas, Pastas, Continental",4.3•-- MINS•₹700 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/cafe-zeenat-mahalaxmi-malabar-hill-mumbai-190108,Cafe Zeenat,Fast Food,--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/big-bowl-company-mahalaxmi-malabar-hill-mumbai-296056,Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food",3.9•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/light-of-persia-peddar-road-mahalaxmi-malabar-hill-mumbai-20744,Light Of Persia,"North Indian, Chinese, South Indian, Fast Food",4.2•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/jashn-e-biryani-mahalaxmi-malabar-hill-mumbai-317759,Jashn E Biryani,"Biryani, North Indian, Mughlai, Desserts",3.7•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/santosh-sagar-mahalaxmi-malabar-hill-mumbai-281456,Santosh Sagar,South Indian,4.5•-- MINS•₹550 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/cafe-coffee-day-dev-chaaya-building-haji-ali-mahalaxmi-malabar-hill-mumbai-91516,Cafe Coffee Day,"Beverages, Snacks, Desserts",4.3•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/rolls-and-bowls-company-mahalaxmi-malabar-hill-mumbai-348915,Rolls & Bowls Company,"North Indian, Chinese, Fast Food, Desserts",3.9•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/kanishka-mahalaxmi-malabar-hill-mumbai-284444,Kanishka,"Chinese, Snacks",--•-- MINS•₹800 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/jyotis-chocolat-bandra-west-mahalaxmi-malabar-hill-mumbai-303241,Jyoti's Chocolat,Desserts,--•-- MINS•₹500 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/vadera-sweets-and-savouries-tardeo-mahalaxmi-malabar-hill-mumbai-365830,Vadera sweets & savouries,"Sweets, Desserts, Bakery, Snacks, Gujarati, Maharashtrian",4.1•-- MINS•₹100 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/occasions-dryfruit-co-mahalaxmi-malabar-hill-mumbai-383805,OCCASIONS DRYFRUIT CO.,"Chinese, Biryani, Kebabs",--•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/natural-ice-cream-napeansea-road-mahalaxmi-malabar-hill-mumbai-30897,Natural Ice Cream,Desserts,4.6•-- MINS•₹150 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/bowl-baby-bowl-mahalaxmi-malabar-hill-mumbai-311818,Bowl Baby Bowl,"Chinese, Asian, Thai, Korean, Pan-Asian",4.3•-- MINS•₹700 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-teen-batti-mahalaxmi-malabar-hill-mumbai-375590,Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream",--•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/hindmata-tardeo-mahalaxmi-malabar-hill-mumbai-56826,Hindmata,"Indian, Chinese",4.4•-- MINS•₹500 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/brownie-point-mahalaxmi-malabar-hill-mumbai-232086,Brownie Point,"Desserts, Bakery, Cafe",--•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/bomberry-tardeo-mahalaxmi-malabar-hill-mumbai-36068,Bomberry,"Ice Cream, Desserts",4.3•-- MINS•₹450 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/hotel-shraddha-mahalaxmi-malabar-hill-mumbai-42868,Hotel Shraddha,"North Indian, Chinese, Jain",--•-- MINS•₹350 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/frosty-handchurned-ice-cream-tardeo-mahalaxmi-malabar-hill-mumbai-36067,Frosty Handchurned Ice Cream,Ice Cream,--•-- MINS•₹150 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/cafe-noorani-mahalaxmi-area-mahalaxmi-malabar-hill-mumbai-65942,Cafe Noorani,"North Indian, Chinese, Mughlai",4.2•-- MINS•₹750 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/happy-house-kitchen-girgoan-chowpatty-mahalaxmi-malabar-hill-mumbai-132118,Happy House Kitchen,"Indian, Chinese, Italian",--•-- MINS•₹1400 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-crossroads-mahalaxmi-malabar-hill-mumbai-295132,McDonald's Gourmet Burger Collection,"American, Continental, Fast Food, Desserts, Beverages",4.2•-- MINS•₹600 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mcdonalds-crossroads-mahalaxmi-malabar-hill-mumbai-23666,McDonald's,Fast Food,4.4•-- MINS•₹400 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mumbai-express-the-delivery-kitchen-mahalaxmi-malabar-hill-mumbai-356339,Mumbai Express - The Delivery Kitchen,"Chinese, Fast Food, Snacks, Pizzas, Beverages, Juices",4.1•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/china-land-tardeo-mahalaxmi-malabar-hill-mumbai-29881,China Land,"Chinese, Seafood, Asian",4.3•-- MINS•₹750 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/chandu-halwai-walkeshwar-road-navyug-niketan-mahalaxmi-malabar-hill-mumbai-26372,Chandu Halwai,Sweets,4.5•-- MINS•₹150 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-crossroads-mahalaxmi-malabar-hill-mumbai-177539,McCafe by McDonald's,"Cafe, Beverages, Desserts",--•-- MINS•₹250 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/dominos-pizza-charkop-kandivali-mahalaxmi-malabar-hill-mumbai-24473,Domino's Pizza,Pizzas,4.2•-- MINS•₹400 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mithaas-central-mahalaxmi-malabar-hill-mumbai-35497,Mithaas,Sweets,3.6•-- MINS•₹600 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/selfcare-by-suman-agarwal-pmmm-road-mahalaxmi-malabar-hill-mumbai-147601,Selfcare By Suman agarwal,"Desserts, Snacks, Beverages",--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/sangeeta-by-eastern-sweets-mahalaxmi-malabar-mahalaxmi-malabar-hill-mumbai-10473,Sangeeta By Eastern Sweets,"Street Food, Desserts",--•-- MINS•₹500 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/parsilicious-grant-road-mahalaxmi-malabar-hill-mumbai-380841,Parsilicious,Parsi,--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/prettybaked-mahalaxmi-malabar-hill-mumbai-300185,PrettyBaked,"Bakery, Desserts",--•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/gold-coins-restaurant-a-c-market-mahalaxmi-malabar-hill-mumbai-18910,Gold Coins Restaurant,"Punjabi, North Indian, Chinese, Mughlai",4.4•-- MINS•₹400 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/mini-course-mahalaxmi-malabar-hill-mumbai-348109,Mini course,"Continental, Beverages",4.7•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/havmor-havfunn-ice-cream-near-cumballa-hill-hospital-mahalaxmi-malabar-hill-mumbai-16066,Havmor Havfunn Ice Cream,"Ice Cream, Ice Cream Cakes, Desserts",4.6•-- MINS•₹150 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/tosita-bakery-mahalaxmi-malabar-hill-mumbai-47900,Tosita Bakery,Bakery,--•-- MINS•₹200 FOR TWO,MAHALAXMI_MALABAR_HILL
https://www.swiggy.com/restaurants/good-fettle-healthy-ice-creams-breach-candy-mahalaxmi-malabar-hill-mumbai-215234,Good Fettle - Healthy Ice Creams,"Ice Cream, Desserts, Healthy Food",4.7•-- MINS•₹300 FOR TWO,MAHALAXMI_MALABAR_HILL
