details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/cakes-and-more-mahim-dadar-mumbai-244448,Cakes & more,"Beverages, Cafe",4.2•-- MINS•₹150 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/encreo-bistro-and-bar-mahim-dadar-mumbai-370463,EnCreo Bistro and Bar,"Fast Food, Pizzas",--•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/kwality-walls-vijaynagar-mahim-dadar-mumbai-90200,Kwality Walls,"Desserts, Ice Cream",4.6•-- MINS•₹100 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/mumbai/hotel-sachin-mahim-dadar,Hotel Sachin,Seafood,4.0•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/nic-natural-ice-creams-lumire-tower-mahim-dadar-mumbai-82939,NIC Natural Ice Creams,"Ice Cream, Desserts",4.6•-- MINS•₹120 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/zaiqaa-mahim-mahim-dadar-mumbai-354651,Zaiqaa-Mahim,"North Indian, Mughlai, Chinese, Seafood, Biryani",3.7•-- MINS•₹500 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/apsara-ice-creams-shivaji-park-mahim-dadar-mumbai-24378,Apsara Ice Creams,"Ice Cream, Desserts",4.6•-- MINS•₹150 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-paan-story-mahim-dadar-mumbai-151809,The Paan Story,"Desserts, Paan",4.0•-- MINS•₹500 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/itminaan-biryani-dum-pukht-prabhadevi-mahim-dadar-mumbai-313673,Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",4.2•-- MINS•₹400 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/gentlemen-tava-and-grill-mahim-dadar-mumbai-335577,GENTLEMEN TAVA AND GRILL,Indian,--•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/aaswad-dadar-shivaji-park-mahim-dadar-mumbai-74193,Aaswad,"Maharashtrian, South Indian, Street Food, Desserts",4.5•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/dominos-pizza-kamadhenu-shopping-centre-mahim-dadar-mumbai-24494,Domino's Pizza,Pizzas,4.3•-- MINS•₹400 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/saikripa-foods-shivaji-park-gym-keluskar-marg-mahim-dadar-mumbai-24372,Saikripa Foods - Shivaji Park Gym,"North Indian, Chinese, Maharashtrian, Malwani, Indian",4.4•-- MINS•₹350 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-momo-factory-dadar-west-mahim-dadar-mumbai-83115,The Momo Factory,Tibetan,4.4•-- MINS•₹350 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-chocolate-heaven-shivaji-park-mahim-dadar-mumbai-51403,The Chocolate Heaven,"Cafe, Italian, Desserts, Snacks",4.3•-- MINS•₹600 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/ananya-s-kitchen-sion-dharavi-90-feet-mahim-dadar-mumbai-382325,Ananya s Kitchen,Indian,--•-- MINS•₹250 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/myras-kitchen-mahim-dadar-mumbai-349979,Myra's Kitchen,"Chinese, Indian",3.8•-- MINS•₹350 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/adrak-mahim-west-mahim-dadar-mumbai-342544,ADRAK,"Awadhi, North Indian, Indian, Biryani, Kebabs, Desserts",4.2•-- MINS•₹750 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/ice-cream-works-mahim-dadar-mumbai-333705,ICE CREAM WORKS,Ice Cream,--•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/stone-grill-mahim-dadar-mumbai-375224,STONE GRILL,"Indian, Grill",--•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/papa-jangos-pizza-damodar-haridas-bldg-mahim-dadar-mumbai-214362,Papa Jango's Pizza,"Pizzas, Pastas, Beverages, Desserts",4.1•-- MINS•₹199 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/trupti-dadar-west-mahim-dadar-mumbai-40732,Trupti,"North Indian, Jain, Maharashtrian",4.4•-- MINS•₹350 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/sheetals-mahim-dadar-mumbai-114612,Sheetal's,"Biryani, Indian, Mughlai, Chinese, Seafood, Maharashtrian",3.7•-- MINS•₹400 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/gee-lee-chinese-mahim-dadar-mumbai-319785,GEE LEE CHINESE,Chinese,3.6•-- MINS•₹450 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/eternal-bliss-mahim-dadar-mumbai-358354,Eternal Bliss,"Bakery, Desserts, Ice Cream, Fast Food",3.7•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/maroosh-mahim-dadar-mumbai-151812,Maroosh,"Arabian, North Indian",3.4•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/tanatan-mahim-dadar-mumbai-361750,Tanatan,Indian,--•-- MINS•₹1500 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/favourite-takeaway-near-suryavanshi-hall-mahim-dadar-mumbai-24385,Favourite Takeaway,"North Indian, Chinese",--•-- MINS•₹550 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-junction-shivaji-park-mahim-dadar-mumbai-54487,The Junction,"Desserts, Beverages",4.4•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/hotel-sheetal-mahim-dadar-mumbai-105914,Hotel Sheetal,"Malwani, North Indian, Chinese",4.3•-- MINS•₹550 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/mao-restaurant-mahim-dadar-mumbai-139387,Mao Restaurant,"Indian, Chinese, Tandoor, Arabian",4.0•-- MINS•₹600 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/gauri-bhakariwale-mahim-dadar-mumbai-301462,GAURI BHAKARIWALE,Indian,--•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-chimney-factory-mahim-dadar-mumbai-368285,THE CHIMNEY FACTORY,"Indian, Desserts, Beverages",--•-- MINS•₹400 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/sandwizzaa-mahim-dadar-mumbai-372786,Sandwizzaa,"Fast Food, Beverages",--•-- MINS•₹300 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/shashi-coastal-treat-mahim-dadar-mumbai-48327,Shashi Coastal Treat,"Indian, Chinese",--•-- MINS•₹600 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/desi-chai-point-mahim-dadar-mumbai-264039,Desi chai point,"Beverages, Snacks, Pizzas, Grill, Indian, Bakery",4.1•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/fiesta-bites-dadar-mahim-dadar-mumbai-36342,Fiesta Bites,"Continental, Chinese, Desserts",4.3•-- MINS•₹400 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/kaapi-n-more-mahim-dadar-mumbai-370241,Kaapi n More,South Indian,--•-- MINS•₹200 FOR TWO,MAHIM_DADAR_WEST
https://www.swiggy.com/restaurants/the-spice-bowl-mahim-dadar-mumbai-350079,The spice bowl,Indian,--•-- MINS•₹500 FOR TWO,MAHIM_DADAR_WEST
