details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-sion-bhakti-park-mumbai-353649,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,4.6•-- MINS•₹300 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/faasos-s-m-road-sion-bhakti-park-mumbai-19106,Faasos,"Fast Food, Combo, Snacks",4.2•-- MINS•₹200 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/creamy-express-pratiksha-nagar-sion-bhakti-park-mumbai-138715,Creamy Express,Bakery,--•-- MINS•₹400 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/monginis-sion-bhakti-park-mumbai-117415,Monginis,Bakery,--•-- MINS•₹200 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/new-madras-sion-west-sion-bhakti-park-mumbai-26235,New Madras,"Mughlai, North Indian, Chinese, South Indian",4.5•-- MINS•₹650 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/agarwal-fast-food-pure-veg-gtb-nagar-sion-bhakti-park-mumbai-23366,Agarwal Fast Food Pure Veg,"Street Food, North Indian",4.3•-- MINS•₹200 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/sbarro-new-york-pizza-d-j-road-sion-bhakti-park-mumbai-28897,Sbarro - New York Pizza,"Italian, Pizzas, Desserts, Beverages, Combo",3.7•-- MINS•₹600 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/mysore-boarding-gtb-nagar-sion-bhakti-park-mumbai-180095,Mysore Boarding,"South Indian, North Indian",--•-- MINS•₹250 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-s-m-road-sion-bhakti-park-mumbai-263645,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--•-- MINS•₹200 FOR TWO,SION_BHAKTI_PARK
https://www.swiggy.com/restaurants/khaana-khazana-sm-road-sion-bhakti-park-mumbai-23445,Khaana Khazana,"North Indian, Chinese",3.7•-- MINS•₹400 FOR TWO,SION_BHAKTI_PARK
