details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/monginis-thane-hiranandani-estate-mumbai-294947,MONGINIS,"Desserts, Bakery",4.1•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/al-baik-thane-hiranandani-estate-mumbai-346597,Al-baik,"Fast Food, American, Snacks, Cafe",4.0•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/prime-time-to-the-bite-thane-hiranandani-estate-mumbai-351705,PRIME TIME (TO THE BITE),"Indian, Seafood, Thalis",--•-- MINS•₹500 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/dm-delicious-thane-hiranandani-estate-mumbai-373296,DM Delicious,"Indian, Maharashtrian, Chinese, Biryani, Snacks",--•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-ghodbandar-thane-hiranandani-estate-mumbai-105234,UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.8•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/the-big-bowl-ghodbunder-road-thane-hiranandani-estate-mumbai-182437,The Big Bowl,"Chinese, Indian, Oriental, Mughlai, Punjabi, Tandoor",4.0•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/yummys-the-veg-treat-thane-hiranandani-estate-mumbai-225920,Yummy's - The Veg Treat,"Street Food, Snacks, Indian, Fast Food",4.2•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/lunchbox-hill-spring-commercial-vijay-garden-road-thane-hiranandani-estate-mumbai-62897,LunchBox,"North Indian, Chinese, Desserts, Biryani",4.1•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/sayan-fast-food-thane-hiranandani-estate-mumbai-375915,SAYAN FAST FOOD,Chinese,--•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/just-for-tummy-momos-katta-thane-hiranandani-bhokar-pada-kasarvadavli-thane-hiranandani-estate-mumbai-168245,Just For Tummy(Momos Katta),Indian,--•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/the-ice-cream-bakery-tib-thane-hiranandani-estate-mumbai-380380,The Ice-Cream Bakery - TIB,Ice Cream,--•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/nic-natural-ice-creams-ghodbunder-road-thane-thane-hiranandani-estate-mumbai-76024,NIC Natural Ice Creams,"Ice Cream, Desserts",4.6•-- MINS•₹120 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/bhoir-hotel-thane-west-thane-hiranandani-estate-mumbai-163917,Bhoir Hotel,"Chinese, Indian",4.1•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/singh-and-lee-thane-hiranandani-estate-mumbai-347679,Singh And Lee,Indian,--•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/barbeque-nation-ghodbunder-road-thane-hiranandani-estate-mumbai-305815,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.9•-- MINS•₹600 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/the-biryani-life-hill-spring-commercial-vijay-garden-road-thane-hiranandani-estate-mumbai-186129,The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Combo, Desserts",4.2•-- MINS•₹250 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/gaurav-sweets-and-namkeen-thane-hiranandani-estate-mumbai-379823,Gaurav Sweets and Namkeen,"Sweets, Chaat",--•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/darbaar-e-tandoor-thane-hiranandani-estate-mumbai-379824,Darbaar-E-Tandoor,"Tandoor, Kebabs",--•-- MINS•₹300 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/gaurav-sweets-and-namkeen-thane-hiranandani-estate-mumbai-379826,Gaurav Sweets and Namkeen,"Desserts, Sweets",3.9•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/rolls-mania-kavesar-gb-road-thane-thane-hiranandani-estate-mumbai-60488,Rolls Mania,Fast Food,4.4•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/red-chilli-chinese-corner-and-dhaba-thane-hiranandani-estate-mumbai-380497,Red chilli Chinese corner and dhaba,"Chinese, Indian",--•-- MINS•₹100 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/dilli-food-dude-thane-hiranandani-estate-mumbai-352251,Dilli Food Dude,"North Indian, Chinese, Biryani",--•-- MINS•₹450 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/behrouz-biryani-hill-spring-commercial-vijay-garden-road-thane-hiranandani-estate-mumbai-16644,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.0•-- MINS•₹500 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/shawarma-and-kabab-house-thane-hiranandani-estate-mumbai-348757,Shawarma and Kabab house,"Arabian, Chinese",4.1•-- MINS•₹200 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/the-momo-co-thane-hiranandani-estate-mumbai-302674,The Momo Co.,Asian,3.7•-- MINS•₹250 FOR TWO,THANE_HIRANANDANI_ESTATE
https://www.swiggy.com/restaurants/dcrepes-cafe-hiranandani-estate-thane-west-thane-hiranandani-estate-mumbai-19566,DCrepes Cafe,"Salads, Cafe, Snacks, Beverages, Continental, Italian, Pizzas, Desserts",4.4•-- MINS•₹700 FOR TWO,THANE_HIRANANDANI_ESTATE
