details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-lbs-marg-thane-mumbai-263760,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/tamarind-spice-west-thane-mumbai-67662,Tamarind Spice,"Indian, Chinese",4.1•-- MINS•₹650 FOR TWO,THANE
https://www.swiggy.com/restaurants/trishul-paan-center-thane-mumbai-239897,Trishul Paan Center,Indian,4.6•-- MINS•₹100 FOR TWO,THANE
https://www.swiggy.com/restaurants/moms-magic-thane-mumbai-365790,Mom's Magic,Fast Food,--•-- MINS•₹240 FOR TWO,THANE
https://www.swiggy.com/restaurants/slay-coffee-acme-ozone-thane-mumbai-297537,SLAY Coffee,"Beverages, Cafe, Desserts",4.5•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/score-house-thane-mumbai-339389,score house,"Chinese, Indian, Tandoor, Juices",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/shri-rudra-food-treat-thane-mumbai-272470,Shri Rudra Food Treat,"North Indian, Snacks, Chinese",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/frozen-bottle-majiwada-thane-mumbai-57746,Frozen Bottle,"Beverages, Ice Cream, Desserts",4.1•-- MINS•₹250 FOR TWO,THANE
https://www.swiggy.com/restaurants/biryani-by-kilo-thane-mumbai-197927,Biryani By Kilo,"Biryani, Hyderabadi, Lucknowi",3.9•-- MINS•₹800 FOR TWO,THANE
https://www.swiggy.com/restaurants/twisties-manpada-thane-mumbai-28178,Twisties,Italian,4.1•-- MINS•₹300 FOR TWO,THANE
https://www.swiggy.com/restaurants/shahi-kolkata-rolls-thane-mumbai-345939,SHAHI KOLKATA ROLLS,"Indian, Snacks",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/stoneage-kitchen-naupada-west-thane-mumbai-238679,Stoneage Kitchen,Indian,--•-- MINS•₹500 FOR TWO,THANE
https://www.swiggy.com/restaurants/calcutta-rolls-and-kabab-pokharan-road-thane-mumbai-92736,Calcutta rolls and kabab,"Fast Food, Biryani, Bengali",3.9•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/pure-nectar-juices-and-more-west-thane-mumbai-161965,Pure Nectar Juices & More,"Fast Food, Juices, Healthy Food, Beverages, Snacks",4.4•-- MINS•₹300 FOR TWO,THANE
https://www.swiggy.com/restaurants/gustos-kitchen-uthalsar-thane-mumbai-180023,Gusto's Kitchen,"Tandoor, Biryani, Kebabs, North Indian, Chinese, Thai",4.2•-- MINS•₹350 FOR TWO,THANE
https://www.swiggy.com/restaurants/fragola-cakes-and-more-thane-mumbai-319420,Fragola Cakes & More,"Bakery, Desserts, Snacks",4.1•-- MINS•₹400 FOR TWO,THANE
https://www.swiggy.com/restaurants/om-sai-fast-food-manpada-thane-mumbai-157108,Om Sai Fast Food,Fast Food,--•-- MINS•₹300 FOR TWO,THANE
https://www.swiggy.com/restaurants/mcdonalds-lodha-boulevard-thane-mumbai-23739,McDonald's,Fast Food,4.3•-- MINS•₹400 FOR TWO,THANE
https://www.swiggy.com/restaurants/hungry-city-thane-mumbai-374135,Hungry City,"Chinese, Indian",--•-- MINS•₹400 FOR TWO,THANE
https://www.swiggy.com/restaurants/pistascia-thane-mumbai-333707,PISTASCIA,"Sweets, Desserts, Beverages",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/dcrepes-cafe-thane-mumbai-367740,DCrepes Cafe,"Continental, European",--•-- MINS•₹600 FOR TWO,THANE
https://www.swiggy.com/restaurants/hotel-royal-treat-wine-n-dine-thane-mumbai-317481,Hotel Royal Treat Wine n Dine,Indian,--•-- MINS•₹500 FOR TWO,THANE
https://www.swiggy.com/restaurants/cucina-thane-mumbai-333706,CUCINA,Italian,--•-- MINS•₹300 FOR TWO,THANE
https://www.swiggy.com/restaurants/creamchills-thane-mumbai-262784,CREAMCHILLS,Indian,4.2•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/2-fat-brothers-thane-mumbai-333943,2 FAT BROTHERS,Fast Food,--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/biryani-binge-thane-mumbai-352485,Biryani Binge,"Biryani, North Indian",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/3-seasons-kitchen-thane-mumbai-331404,3 Seasons Kitchen,"North Indian, Chinese, Biryani, Fast Food",3.9•-- MINS•₹400 FOR TWO,THANE
https://www.swiggy.com/restaurants/gaurav-sweets-and-namkeen-thane-mumbai-379822,Gaurav Sweets and Namkeen,"Sweets, Snacks",4.2•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/pizza-miniazza-thane-mumbai-352486,PIZZA-MINIAZZA,"Pizzas, Pastas",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/cafe-junction-thane-mumbai-354663,Cafe Junction,"Cafe, South Indian, Chinese, Beverages, Fast Food, North Indian, Combo",--•-- MINS•₹150 FOR TWO,THANE
https://www.swiggy.com/restaurants/gaurav-sweets-and-namkeen-thane-mumbai-379825,Gaurav Sweets and Namkeen,"Chaat, Sweets, Snacks",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/kaala-chashma-by-mantraa-naupada-thane-mumbai-34734,Kaala Chashma By Mantraa,"North Indian, Mexican, Chinese, Italian",4.3•-- MINS•₹900 FOR TWO,THANE
https://www.swiggy.com/restaurants/mealful-wraps-haria-industrial-estate-thane-mumbai-274880,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",4.1•-- MINS•₹250 FOR TWO,THANE
https://www.swiggy.com/restaurants/desi-meal-boxes-west-thane-mumbai-170796,Desi Meal Boxes,"Indian, Chinese",--•-- MINS•₹200 FOR TWO,THANE
https://www.swiggy.com/restaurants/27-yard-manpada-thane-mumbai-54362,27 Yard,"Indian, Chinese, Continental, Parsi",4.2•-- MINS•₹750 FOR TWO,THANE
