details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/alfa-shawarma-centre-west-dindyal-nagar-west-vasai-mumbai-64397,Alfa Shawarma Centre (West),Chinese,4.0•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/mansarovar-sweets-vasai-mumbai-138952,Mansarovar Sweets,"Sweets, Snacks",4.1•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/bubble-bee-vasai-mumbai-138953,Bubble Bee,"Pizzas, Pastas, Desserts",3.8•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/idly-and-coffee-vasai-mumbai-317591,Idly & Coffee,South Indian,3.9•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/lucky-biryani-vasai-mumbai-223985,Lucky Biryani,"Biryani, North Indian",4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/nayak-food-court-vasai-mumbai-205518,Nayak Food court,"Chinese, Seafood, Maharashtrian",4.0•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/supriya-express-delivery-pure-veg-nala-sopara-vasai-mumbai-191263,Supriya Express Delivery-Pure Veg,"Indian, Chinese, Tandoor, North Indian",3.9•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/jumboking-indian-burger-vasai-mumbai-33895,Jumboking Indian Burger,"Fast Food, Indian, American, Mexican, Healthy Food, Snacks, Beverages",4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/101-cafe-vasai-mumbai-82268,101 Cafe,"South Indian, Fast Food",--•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/paprika-vasai-mumbai-54113,Paprika,"Indian, Chinese, Tandoor, Mughlai",3.3•-- MINS•₹550 FOR TWO,VASAI
https://www.swiggy.com/restaurants/blue-moon-w-vasai-mumbai-45075,Blue Moon,"Chinese, Indian",--•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/hunan-vasai-mumbai-54117,Hunan,Chinese,4.2•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/farmhouse-vasai-mumbai-47371,Farmhouse,"North Indian, Continental, Seafood, Italian",--•-- MINS•₹1000 FOR TWO,VASAI
https://www.swiggy.com/restaurants/kebabs-and-biryani-vasai-mumbai-328258,KEBABS AND BIRYANI,"Biryani, Kebabs, Indian",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/farmhouse-tamtalav-tamtalav-vasai-mumbai-47370,Farmhouse Tamtalav,"North Indian, Continental, Seafood, Italian",4.2•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/shiva-sagar-evershine-vasai-mumbai-59927,Shiva Sagar,"South Indian, Indian, Chinese",4.0•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/mandarin-wok-vasai-mumbai-345013,Mandarin Wok,Chinese,3.3•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/jerrys-kitchen-west-vasai-mumbai-105365,Jerry's Kitchen,"Indian, Chinese, Thai, Mughlai, Lebanese, Kebabs",4.0•-- MINS•₹450 FOR TWO,VASAI
https://www.swiggy.com/restaurants/the-j-vasai-mumbai-300920,The J,"American, Fast Food, Snacks, Desserts",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/goan-food-vasai-mumbai-244453,Goan Food,"Indian, Salads",--•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/charcoal-eats-biryani-and-beyond-north-lane-mall-vasai-mumbai-332612,Charcoal Eats - Biryani & Beyond,"Biryani, North Indian, Fast Food",4.0•-- MINS•₹499 FOR TWO,VASAI
https://www.swiggy.com/restaurants/tastomania-vasai-mumbai-351032,Tastomania,"Chinese, Indian, Thai",3.6•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/china-hut-vasai-mumbai-200756,China Hut,Chinese,3.7•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/taskuin-chinese-corner-vasai-mumbai-294154,TASKUIN  CHINESE  CORNER,Chinese,--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/7th-heaven-vasai-vasai-mumbai-361993,7th Heaven Vasai,"Bakery, Desserts, Snacks",3.7•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/famous-dabeli-ambadi-road-vasai-mumbai-140123,Famous Dabeli,"Street Food, Fast Food",4.2•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/subway-vasai-mumbai-59931,Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",4.4•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/al-lazeez-vasai-mumbai-146228,Al Lazeez,"Tandoor, Biryani",4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/buddys-franky-corner-vasai-mumbai-375471,BUDDYS FRANKY CORNER,"Fast Food, Snacks",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/k-k-frankie-roll-and-fast-food-w-vasai-mumbai-37208,K.K Frankie Roll & Fast Food,"Street Food, Fast Food",--•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/dhuri-veg-world-vasai-mumbai-51417,Dhuri Veg World,"Indian, Chinese",4.0•-- MINS•₹750 FOR TWO,VASAI
https://www.swiggy.com/restaurants/pritam-vasai-mumbai-260592,Pritam,"Chinese, North Indian, South Indian",--•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/hot-box-vasai-mumbai-298409,Hot Box,"Chinese, Snacks",3.3•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/western-cakes-and-bakers-vasai-mumbai-363272,Western Cake's & Baker's,"Bakery, Desserts",--•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/sai-prasad-snacks-and-lunch-home-vasai-mumbai-130454,Sai Prasad Snacks And Lunch Home,Maharashtrian,4.0•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/santosh-misal-pav-vasai-mumbai-375939,Santosh Misal Pav,"Indian, Snacks",4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/haridwar-station-road-vasai-mumbai-74892,Haridwar,"Indian, Chinese",4.2•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/alchemy-vasai-mumbai-378766,ALCHEMY,"Continental, Pastas, Fast Food, Beverages",--•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/copper-handi-nala-sopara-vasai-mumbai-43316,Copper Handi,"Indian, Chinese, Thalis",3.8•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/ovenstory-pizza-vasai-mumbai-58734,Ovenstory Pizza,Pizzas,3.7•-- MINS•₹600 FOR TWO,VASAI
https://www.swiggy.com/restaurants/behrouz-biryani-vasai-mumbai-58733,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.2•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/sweet-truth-vasai-mumbai-58736,Sweet Truth,"Cafe, Bakery, Desserts, Beverages",4.3•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/firangi-bake-vasai-mumbai-58735,Firangi Bake,"Italian, Mexican, Pastas",4.1•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/chef-masala-vasai-mumbai-220382,Chef Masala,"Indian, Maharashtrian, Seafood",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/vaaman-amruttulya-vasai-mumbai-381013,Vaaman Amruttulya,Snacks,--•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/faasos-vasai-mumbai-58732,Faasos,"Fast Food, Combo, Snacks",4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/monginis-vasai-mumbai-298092,MONGINIS,"Bakery, Desserts",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/pizza-hut-nalasopora-vasai-mumbai-47594,Pizza Hut,"Fast Food, Pizzas",4.0•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/china-express-vasai-mumbai-143768,China Express,"Chinese, Snacks",--•-- MINS•₹600 FOR TWO,VASAI
https://www.swiggy.com/restaurants/om-shree-sai-kripa-vasai-mumbai-306565,OM SHREE SAI KRIPA,"Chinese, Indian, Juices",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/mandarin-oak-tejal-apartment-sairam-nagar-vasai-mumbai-65153,Mandarin Oak,"Asian, Chinese, Thai",4.3•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/five-one-four-vasai-mumbai-96797,Five One Four,"Fast Food, Beverages",4.3•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/nawanis-bunmaska-vasai-mumbai-125295,Nawani's Bunmaska,"Beverages, Snacks",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/baskin-robbins-ambadi-road-vasai-mumbai-59032,Baskin Robbins,Desserts,4.7•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-vasai-mumbai-385165,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/cake-bites-sit-and-eat-vasai-mumbai-382338,Cake Bites Sit & Eat,"Bakery, Desserts",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/hotel-rishikesh-vasai-mumbai-52765,Hotel Rishikesh,Indian,4.0•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/nubu-the-food-stop-vasai-mumbai-357608,Nubu - The Food Stop,"European, Continental, Fast Food, Snacks",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/sai-fast-food-vasai-mumbai-347763,SAI FAST FOOD,Fast Food,--•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/rasoi-ghar-nala-sopara-vasai-mumbai-209121,Rasoi Ghar,Indian,--•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/om-shree-sai-kripa-vasai-mumbai-305569,OM SHREE SAI KRIPA,"Indian, Chinese, Beverages",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/aahare-kolkata-vasai-mumbai-262236,AAHARE KOLKATA,"Bengali, Desserts",4.6•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/arabian-shawarma-corner-opp-bhaji-market-tam-talav-vasai-mumbai-172945,Arabian Shawarma Corner,Indian,4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/abisha-vasai-mumbai-61006,Abisha,"Indian, Chinese",--•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/tak-tak-live-ice-creams-vasai-mumbai-141764,Tak Tak Live Ice Creams,Ice Cream,--•-- MINS•₹550 FOR TWO,VASAI
https://www.swiggy.com/restaurants/jagdamba-bhelpuri-and-sandwich-house-vasai-mumbai-47574,Jagdamba Bhelpuri & Sandwich House,Snacks,4.5•-- MINS•₹120 FOR TWO,VASAI
https://www.swiggy.com/restaurants/eggethon-vasai-mumbai-231166,Eggethon,"Fast Food, Healthy Food",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/rolls-on-coals-vasai-mumbai-47572,Rolls on Coals,Continental,--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/jagdish-dosa-plaza-vasai-mumbai-376371,Jagdish Dosa Plaza,South Indian,--•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/brownie-point-cakes-and-savories-vasai-mumbai-38749,Brownie Point (Cakes & Savories ) ,"Bakery, Desserts, Sweets",3.8•-- MINS•₹350 FOR TWO,VASAI
https://www.swiggy.com/restaurants/ghanghor-kathiywadi-and-punjabi-restarant-vasai-mumbai-366559,GHANGHOR KATHIYWADI & PUNJABI RESTARANT,"Beverages, Salads, Biryani",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/ayyappan-masala-dosa-center-vasai-mumbai-158752,Ayyappan Masala Dosa Center,South Indian,4.1•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/get-wrapped-vasai-mumbai-293946,Get Wrapped,"Continental, Fast Food",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/tender-fresh-vasai-mumbai-105841,Tender fresh,"Desserts, Ice Cream",4.3•-- MINS•₹140 FOR TWO,VASAI
https://www.swiggy.com/restaurants/andys-restaurant-vasai-mumbai-320968,Andys Restaurant,"Italian-American, Pizzas, Fast Food, Snacks",3.8•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/devas-kitchen-bhabola-vasai-mumbai-88834,Deva's Kitchen,"Indian, Chinese, Tandoor",4.3•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/andys-restaurant-vasai-mumbai-321019,Andys Restaurant,"Snacks, Fast Food",4.3•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/new-zafran-vasalphata-vasai-mumbai-137163,New Zafran,"Mughlai, Chinese, Indian",--•-- MINS•₹250 FOR TWO,VASAI
https://www.swiggy.com/restaurants/zurger-vasai-mumbai-344599,ZURGER,"Snacks, Desserts, Fast Food",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/chawlas-chaat-centre-vasai-mumbai-240663,Chawla's Chaat Centre,"Chaat, Fast Food",--•-- MINS•₹150 FOR TWO,VASAI
https://www.swiggy.com/restaurants/kuch-bhi-khao-99-vasai-mumbai-318184,Kuch bhi khao @ 99,Chinese,--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/chhotu-maharaj-cloud-kitchen-vasai-mumbai-351888,Chhotu Maharaj Cloud Kitchen,Indian,--•-- MINS•₹400 FOR TWO,VASAI
https://www.swiggy.com/restaurants/chhotu-maharaj-cloud-kitchen-vasai-mumbai-353823,CHHOTU MAHARAJ CLOUD KITCHEN,"Indian, Biryani, Tandoor",--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/the-wok-box-vasai-mumbai-318181,The Wok Box,Chinese,--•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/asian-bowl-vasai-mumbai-338116,ASIAN BOWL,"Asian, Chinese",--•-- MINS•₹600 FOR TWO,VASAI
https://www.swiggy.com/restaurants/shree-ganesh-fast-food-vasai-mumbai-143166,Shree Ganesh Fast Food,"Pizzas, Street Food, Beverages, Fast Food",4.1•-- MINS•₹500 FOR TWO,VASAI
https://www.swiggy.com/restaurants/express-biryani-vasai-mumbai-366455,EXPRESS BIRYANI,"Combo, Biryani, North Indian",--•-- MINS•₹300 FOR TWO,VASAI
https://www.swiggy.com/restaurants/seema-kitchen-vasai-mumbai-366212,Seema kitchen,"Chinese, Indian, Snacks, Beverages",3.9•-- MINS•₹200 FOR TWO,VASAI
https://www.swiggy.com/restaurants/the-momo-co-w-vasai-mumbai-54733,The Momo Co.,"Chinese, Asian, Pan-Asian, Tibetan, Desserts",--•-- MINS•₹250 FOR TWO,VASAI
