details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/bombay-burgers-virar-mumbai-153032,Bombay Burgers,"Fast Food, American",3.1•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/uncle-aunty-fast-food-corner-virar-mumbai-380707,Uncle Aunty Fast Food Corner,"Fast Food, Snacks, Pizzas",--•-- MINS•₹150 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/aaswad-katta-vishnu-prasad-society-virar-mumbai-50949,Aaswad Katta,"Maharashtrian, Malwani",4.2•-- MINS•₹150 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/food-story-virar-mumbai-88481,Food Story,"Indian, Chinese, Beverages",3.0•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/o-cakes-virar-virar-mumbai-348895,O-Cakes Virar,Bakery,--•-- MINS•₹100 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/monginis-virar-mumbai-237992,Monginis,Bakery,--•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/mh-48-tadka-jivdani-cross-road-east-virar-mumbai-299161,MH 48 TADKA,Indian,--•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/7-star-chinese-restaurant-virar-mumbai-375914,7 Star Chinese Restaurant,Chinese,--•-- MINS•₹300 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/thali-pe-zaika-virar-mumbai-205239,Thali pe zaika,North Indian,3.7•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/calcutta-rolls-virar-mumbai-205248,Calcutta rolls,Fast Food,--•-- MINS•₹150 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/parathas-and-biryani-west-virar-mumbai-81699,Parathas & Biryani,"North Indian, Biryani",3.3•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/global-chinese-virar-mumbai-191260,Global Chinese,"Chinese, Thai, Tandoor",3.7•-- MINS•₹350 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/global-suruchi-foods-rustamji-evershine-global-city-virar-mumbai-229332,Global Suruchi Foods,"Indian, Thalis",4.0•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/mulan-chinese-restaurant-virar-mumbai-335065,Mulan Chinese Restaurant,Chinese,4.0•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/the-belgian-waffle-co-virar-mumbai-55566,The Belgian Waffle Co.,"Desserts, Beverages",4.5•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/the-street-food-restaurant-virar-mumbai-377540,The Street Food Restaurant,"Lebanese, Chinese, Combo",--•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/fudboy-ocean-bar-and-restaurant-virar-mumbai-56817,Fudboy Ocean Bar & Restaurant,"Indian, Chinese",3.8•-- MINS•₹1300 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/m-for-momos-virar-mumbai-343477,M FOR MOMOS,"Chinese, Snacks, Fast Food",--•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/hmmm-cheesy-virar-mumbai-82661,Hmmm Cheesy,Fast Food,--•-- MINS•₹600 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/nic-natural-ice-creams-y-k-nagar-virar-mumbai-216647,NIC Natural Ice Creams,"Desserts, Ice Cream",4.6•-- MINS•₹120 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/the-hot-n-spicy-virar-mumbai-368418,THE HOT N SPICY,"Chinese, Fast Food, Indian, Mughlai",--•-- MINS•₹250 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/western-cakes-and-bakers-virar-mumbai-345258,Western Cakes & Bakers,"Desserts, Bakery",--•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/the-wings-restaurant-virar-mumbai-219913,The Wings Restaurant,"Chinese, Indian, Tandoor",4.1•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/dominos-pizza-opposite-viva-college-virar-mumbai-38947,Domino's Pizza,Pizzas,4.2•-- MINS•₹400 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/local-fast-food-virar-mumbai-81051,Local Fast Food,Fast Food,--•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/we-rar-locals-virar-mumbai-374897,WE RAR LOCALS,"Pizzas, Beverages, Chinese, Fast Food",--•-- MINS•₹250 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/delhi-6-virar-mumbai-51408,Delhi 6,"Chaat, Continental",4.1•-- MINS•₹200 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/maggi-hot-spot-virar-mumbai-216149,Maggi Hot Spot,Fast Food,--•-- MINS•₹100 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/yuvikas-fast-food-virar-mumbai-319781,Yuvika's Fast Food,Continental,--•-- MINS•₹450 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/assal-malvani-tadka-gokul-township-virar-mumbai-86170,Assal Malvani Tadka,"Maharashtrian, Malwani, Thalis",4.0•-- MINS•₹150 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/barbeque-nation-village-dongre-virar-mumbai-305818,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.5•-- MINS•₹600 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/cake-for-me-virar-mumbai-351559,CAKE FOR ME,"Indian, Pizzas, Bakery",--•-- MINS•₹300 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/dishas-pizza-virar-mumbai-292131,DISHA'S PIZZA,Chinese,--•-- MINS•₹500 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/jumboking-indian-burger-virar-mumbai-292650,Jumboking Indian Burger,"Fast Food, Indian, American, Beverages",3.9•-- MINS•₹150 FOR TWO,VIRAR
https://www.swiggy.com/restaurants/mikis-franky-virar-mumbai-330673,mikis franky,Indian,--•-- MINS•₹300 FOR TWO,VIRAR
