details,title,spec,ratt
https://www.swiggy.com/restaurants/mithaas-namyan-nagar-hinjewadi-pune-174250,Mithaas,North Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/speedy-punjabi-hinjewadi-opp-shell-petrol-pump-hinjewadi-pune-15300,Speedy Punjabi (Hinjewadi),"North Indian, Chinese",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/flavours-of-andhra-hinjewadi-pune-339143,FLAVOURS OF ANDHRA,Indian,3.9•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/kakke-da-paratha-behind-persistent-company-hinjewadi-pune-28853,Kakke Da Paratha,"North Indian, Punjabi, Thalis",3.9•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/jai-malhar-yelwande-wasti-maruji-road-hijnwadi-hinjewadi-pune-163112,Jai Malhar,"North Indian, Chinese",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/dominos-pizza-dlf-it-park-hinjewadi-pune-25467,Domino's Pizza,Pizzas,--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/makhni-brothers-hinjewadi-pune-369590,Makhni Brothers,"Barbecue, Biryani, Combo, Fast Food, Grill, Juices, Mughlai, North Indian, Punja...",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/pune/1dollarmoffee-hinjewadi,1DollarMoffee,Beverages,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/herbivore-hinjewadi-pune-40503,Herbivore,"North Indian, Chinese, South Indian, Maharashtrian, Fast Food",--•-- MINS•₹700 FOR TWO
https://www.swiggy.com/restaurants/cake-choice-hinjewadi-pune-204551,Cake Choice,Beverages,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/midnight-cafe-hinjewadi-pune-148512,Midnight Cafe,"Snacks, Fast Food",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/leancrust-pizza-blue-ridge-hinjewadi-pune-313548,LeanCrust Pizza,"Pizzas, Italian, Healthy Food",3.7•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/hotel-chaitanya-near-sai-baba-tvs-showroom-hinjewadi-pune-19904,Hotel Chaitanya,"Indian, Chinese",3.8•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/24-7-gallery-cafe-by-hyatt-place-hinjewadi-rajiv-gandhi-infotech-park-phase-1-hinjewadi-pune-63180,24/7 Gallery Cafe by Hyatt Place - Hinjewadi,"North Indian, Continental, Chinese, Biryani",--•-- MINS•₹800 FOR TWO
https://www.swiggy.com/restaurants/radha-krishna-pure-veg-hinjewadi-near-wakad-bridge-hinjewadi-pune-19902,Radha Krishna Pure Veg(Hinjewadi),"North Indian, Chinese, South Indian",3.9•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/oye-hoye-paajee-hinjewadi-pune-321288,Oye Hoye Paajee!,"Indian, Chinese",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/fresh-bake-hinjewadi-pune-248817,FRESH BAKE,"Bakery, Chinese, Indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/homely-meal-box-hinjewadi-pune-315063,Homely meal box,"North Indian, Indian, Thalis, Combo",4.3•-- MINS•₹300 FOR TWO
