details,title,spec,ratt
https://www.swiggy.com/restaurants/hotel-tabus-near-fire-station-hinjewadi-phase-3-pune-62392,Hotel Tabu's,"Chinese, North Indian",4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/punjabi-gully-hinjewadi-phase-3-pune-347267,PUNJABI GULLY,North Indian,3.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/dosa-rap-co-variety-of-dosas-hinjewadi-phase-3-pune-352959,Dosa Rap Co. - Variety of dosas,"Indian, South Indian, North Indian, Chinese, Mexican, Italian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/rachnas-kitchen-gwarwadi-hinjewadi-phase-3-pune-94867,Rachna's Kitchen,"Chinese, North Indian, Desserts, Beverages",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chinese-gully-hinjewadi-phase-3-pune-347265,CHINESE GULLY,"Chinese, Indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/biryani-joy-hinjewadi-phase-3-pune-347264,BIRYANI JOY,"Biryani, Combo, North Indian, Chinese",2.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/leancrust-pizza-hinjewadi-hinjewadi-phase-3-pune-313550,LeanCrust Pizza,"Pizzas, Italian, Healthy Food",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/chicken-xperience-by-venkys-hinjewadi-phase-3-pune-122071,Chicken xperience by Venky's,Fast Food,3.8•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/tectona-restaurant-hinjewadi-phase-3-pune-315577,TECTONA RESTAURANT,"Indian, Chinese",--•-- MINS•₹800 FOR TWO
https://www.swiggy.com/restaurants/sairaj-rolls-house-hinjewadi-phase-3-pune-337956,Sairaj Rolls House,"Fast Food, Snacks",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/mealful-wraps-hinjewadi-hinjewadi-phase-3-pune-274891,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",4.0•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/itminaan-biryani-dum-pukht-hinjewadi-hinjewadi-phase-3-pune-313688,Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/anna-dosa-hinjewadi-phase-3-pune-337963,Anna Dosa,South Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/subway-hinjewadi-phase-3-pune-202594,Subway,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",4.3•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/momo-and-co-hinjewadi-phase-3-pune-294271,MOMO and Co.,"Chinese, Fast Food",3.6•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/meal-in-box-kharadi-hinjewadi-phase-3-pune-315744,Meal in box,"Biryani, Chinese, Combo, Desserts, Mughlai, North Indian",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/gaustu-indian-fusion-hinjewadi-phase-3-pune-253696,GAUSTU INDIAN FUSION,Fast Food,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/crown-kitchen-hinjewadi-phase-3-pune-363440,Crown Kitchen,"Indian, Fast Food",--•-- MINS•₹250 FOR TWO
