details,title,spec,ratt
https://www.swiggy.com/restaurants/swadishtam-restaurant-wakad-pune-368140,SWADISHTAM RESTAURANT,"South Indian, North Indian",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/rs-cafe-wakad-pune-344299,RS CAFE,"Pizzas, Continental",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/mcdonalds-thergaon-near-santosh-nagar-wakad-pune-23728,McDonald's,Fast Food,4.3•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/blue-box-biryani-wakad-pune-262676,Blue Box Biryani,"Biryani, Kebabs",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/sweet-truth-wakad-pune-36363,Sweet Truth,"Cafe, Bakery, Desserts, Beverages",4.4•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/5-to-5-restaurant-wakad-pune-262314,5 To 5 Restaurant,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hyderabadi-biryani-express-wakad-pune-355982,Hyderabadi Biryani Express,"Chinese, Biryani",3.5•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/foodie-adda-wakad-pune-338850,FOODIE ADDA,"Fast Food, Chinese",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/rajmandir-ice-cream-wakad-pune-40747,Rajmandir Ice cream',"Ice Cream, Desserts",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/falahaar-wakad-pune-298077,Falahaar,"Fast Food, Beverages, Pizzas, American",4.5•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/mauli-tea-and-snack-center-road-wakad-pune-148758,Mauli tea and snack center,Snacks,4.4•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/rd-chinese-wakad-pune-361983,RD Chinese,"Indian, Chinese",--•-- MINS•₹300 FOR TWO
